         in int              in bit       out real    out sim int         out sim bit          error
             -5            11111011         -128.0           -128            10000000            0.0
            -24            11101000          -52.0            -52            11001100            0.0
            -63            11000001         -128.0           -128            10000000            0.0
            -24            11101000         -128.0           -128            10000000            0.0
             21            00010101         -11.25            -11            11110101          -0.25
           -116            10001100         -128.0           -128            10000000            0.0
             94            01011110          -67.5            -67            10111101           -0.5
            -53            11001011          95.25             96            01100000          -0.75
            -13            11110011         -128.0           -128            10000000            0.0
              7            00000111         -13.75            -13            11110011          -0.75
             18            00010010           45.5             46            00101110           -0.5
            -90            10100110         -121.5           -121            10000111           -0.5
             97            01100001         -10.25            -10            11110110          -0.25
            -52            11001100          103.0            103            01100111            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             87            01010111         -83.75            -83            10101101          -0.75
           -118            10001010          -32.5            -32            11100000           -0.5
             -1            11111111         -128.0           -128            10000000            0.0
            104            01101000          127.0            127            01111111            0.0
            -29            11100011          64.25             65            01000001          -0.75
             19            00010011         -24.75            -24            11101000          -0.75
            -69            10111011         -82.75            -82            10101110          -0.75
             51            00110011         -48.75            -48            11010000          -0.75
           -110            10010010          -90.5            -90            10100110           -0.5
              3            00000011         -128.0           -128            10000000            0.0
             12            00001100           27.0             27            00011011            0.0
            -46            11010010          -56.5            -56            11001000           -0.5
             60            00111100           13.0             13            00001101            0.0
            -46            11010010           39.5             40            00101000           -0.5
             36            00100100          -29.0            -29            11100011            0.0
            -37            11011011           7.25              8            00001000          -0.75
             94            01011110           90.5             91            01011011           -0.5
           -102            10011010            9.5             10            00001010           -0.5
            111            01101111          -9.75             -9            11110111          -0.75
            -58            11000110           27.5             28            00011100           -0.5
            -64            11000000         -128.0           -128            10000000            0.0
            -48            11010000         -128.0           -128            10000000            0.0
            -15            11110001        -122.25           -122            10000110          -0.25
            -27            11100101         -77.25            -77            10110011          -0.25
             31            00011111           0.25              1            00000001          -0.75
             14            00001110           86.5             87            01010111           -0.5
              2            00000010           31.5             32            00100000           -0.5
             77            01001101          127.0            127            01111111            0.0
            -39            11011001          85.75             86            01010110          -0.25
            109            01101101         112.75            113            01110001          -0.25
            -21            11101011          88.25             89            01011001          -0.75
           -116            10001100         -128.0           -128            10000000            0.0
             47            00101111         -128.0           -128            10000000            0.0
              3            00000011          99.25            100            01100100          -0.75
            -46            11010010          -74.5            -74            10110110           -0.5
            -23            11101001         -128.0           -128            10000000            0.0
           -104            10011000         -128.0           -128            10000000            0.0
             93            01011101         -45.25            -45            11010011          -0.25
            -79            10110001          47.75             48            00110000          -0.25
             68            01000100          -39.0            -39            11011001            0.0
            -33            11011111          78.25             79            01001111          -0.75
            -55            11001001         -128.0           -128            10000000            0.0
            -47            11010001         -128.0           -128            10000000            0.0
             -6            11111010         -104.5           -104            10011000           -0.5
             38            00100110           54.5             55            00110111           -0.5
            -45            11010011          -2.75             -2            11111110          -0.75
             89            01011001          65.75             66            01000010          -0.25
             70            01000110          127.0            127            01111111            0.0
             98            01100010          127.0            127            01111111            0.0
            -28            11100100          127.0            127            01111111            0.0
           -111            10010001         -128.0           -128            10000000            0.0
             54            00110110         -127.5           -127            10000001           -0.5
             36            00100100          127.0            127            01111111            0.0
            -99            10011101        -101.25           -101            10011011          -0.25
           -112            10010000         -128.0           -128            10000000            0.0
            111            01101111         -29.75            -29            11100011          -0.75
            -56            11001000           31.0             31            00011111            0.0
             30            00011110          -59.5            -59            11000101           -0.5
            -88            10101000          -94.0            -94            10100010            0.0
             63            00111111         -65.75            -65            10111111          -0.75
            -60            11000100           21.0             21            00010101            0.0
            -59            11000101         -128.0           -128            10000000            0.0
            103            01100111          62.25             63            00111111          -0.75
            -74            10110110          -16.5            -16            11110000           -0.5
