         in int              in bit       out real    out sim int         out sim bit          error
            -47            11010001          31.75             32            00100000          -0.25
             43            00101011         -18.75            -19            11101101           0.25
           -101            10011011         -90.75            -91            10100101           0.25
             83            01010011         -56.75            -57            11000111           0.25
            125            01111101          127.0            127            01111111            0.0
            -80            10110000           17.0             17            00010001            0.0
            -86            10101010         -128.0           -128            10000000            0.0
            100            01100100            3.0              3            00000011            0.0
              4            00000100          127.0            127            01111111            0.0
             82            01010010          127.0            127            01111111            0.0
             66            01000010          127.0            127            01111111            0.0
             57            00111001          127.0            127            01111111            0.0
             58            00111010          127.0            127            01111111            0.0
            -41            11010111          44.25             44            00101100           0.25
             46            00101110           -1.5             -2            11111110            0.5
           -112            10010000         -104.0           -104            10011000            0.0
             91            01011011         -64.75            -65            10111111           0.25
             60            00111100          127.0            127            01111111            0.0
            -25            11100111          76.25             76            01001100           0.25
              8            00001000          -36.0            -36            11011100            0.0
            -80            10110000         -124.0           -124            10000100            0.0
             -3            11111101         -128.0           -128            10000000            0.0
             32            00100000           50.0             50            00110010            0.0
            -37            11011011          -0.75             -1            11111111           0.25
             37            00100101          -9.25             -9            11110111          -0.25
             70            01000110          127.0            127            01111111            0.0
            -64            11000000           28.0             28            00011100            0.0
            127            01111111          94.25             94            01011110           0.25
            -61            11000011          54.25             54            00110110           0.25
            -65            10111111         -128.0           -128            10000000            0.0
             30            00011110          -77.5            -78            10110010            0.5
            -50            11001110          -27.5            -28            11100100            0.5
            -27            11100101         -128.0           -128            10000000            0.0
             44            00101100           23.0             23            00010111            0.0
            121            01111001          127.0            127            01111111            0.0
            -99            10011101         -24.25            -24            11101000          -0.25
            -46            11010010         -128.0           -128            10000000            0.0
            -13            11110011        -114.75           -115            10001101           0.25
            -81            10101111         -128.0           -128            10000000            0.0
            121            01111001          49.75             50            00110010          -0.25
            -45            11010011          70.25             70            01000110           0.25
            -62            11000010         -128.0           -128            10000000            0.0
           -105            10010111         -128.0           -128            10000000            0.0
             31            00011111         -128.0           -128            10000000            0.0
            -15            11110001          35.75             36            00100100          -0.25
             84            01010100          117.0            117            01110101            0.0
            -42            11010110           94.5             94            01011110            0.5
            104            01101000           98.0             98            01100010            0.0
            -37            11011011          50.25             50            00110010           0.25
            -23            11101001        -114.25           -114            10001110          -0.25
           -105            10010111         -128.0           -128            10000000            0.0
            116            01110100           -7.0             -7            11111001            0.0
            -62            11000010           30.5             30            00011110            0.5
            107            01101011          63.25             63            00111111           0.25
             -3            11111101         115.75            116            01110100          -0.25
           -125            10000011         -128.0           -128            10000000            0.0
            125            01111101         -31.25            -31            11100001          -0.25
            -78            10110010           20.5             20            00010100            0.5
             17            00010001        -126.25           -126            10000010          -0.25
            -49            11001111         -51.75            -52            11001100           0.25
             28            00011100          -49.0            -49            11001111            0.0
           -118            10001010         -128.0           -128            10000000            0.0
            -29            11100011         -128.0           -128            10000000            0.0
            -77            10110011         -128.0           -128            10000000            0.0
             47            00101111         -71.75            -72            10111000           0.25
            -90            10100110          -63.5            -64            11000000            0.5
            -51            11001101         -128.0           -128            10000000            0.0
            -54            11001010         -128.0           -128            10000000            0.0
            -39            11011001         -128.0           -128            10000000            0.0
           -106            10010110         -128.0           -128            10000000            0.0
             66            01000010          -96.5            -97            10011111            0.5
            -84            10101100          -15.0            -15            11110001            0.0
            -84            10101100         -128.0           -128            10000000            0.0
           -123            10000101         -128.0           -128            10000000            0.0
             54            00110110         -128.0           -128            10000000            0.0
             37            00100101          127.0            127            01111111            0.0
            -49            11001111         -11.75            -12            11110100           0.25
             25            00011001         -54.25            -54            11001010          -0.25
            -15            11110001          23.75             24            00011000          -0.25
            -14            11110010          -54.5            -55            11001001            0.5
             49            00110001          57.75             58            00111010          -0.25
            -24            11101000           56.0             56            00111000            0.0
             53            00110101          44.75             45            00101101          -0.25
            -73            10110111         -21.75            -22            11101010           0.25
           -125            10000011         -128.0           -128            10000000            0.0
              0            00000000         -128.0           -128            10000000            0.0
             -6            11111010          -10.5            -11            11110101            0.5
            115            01110011          127.0            127            01111111            0.0
             79            01001111          127.0            127            01111111            0.0
             65            01000001          127.0            127            01111111            0.0
             20            00010100          127.0            127            01111111            0.0
             66            01000010          127.0            127            01111111            0.0
            -93            10100011         -30.75            -31            11100001           0.25
            127            01111111          36.25             36            00100100           0.25
             61            00111101          127.0            127            01111111            0.0
             42            00101010          127.0            127            01111111            0.0
           -128            10000000         -128.0           -128            10000000            0.0
             55            00110111         -128.0           -128            10000000            0.0
             57            00111001          127.0            127            01111111            0.0
             57            00111001          127.0            127            01111111            0.0
             26            00011010          127.0            127            01111111            0.0
            -18            11101110           20.5             20            00010100            0.5
             41            00101001          35.75             36            00100100          -0.25
             -5            11111011          73.25             73            01001001           0.25
            107            01101011          127.0            127            01111111            0.0
            -88            10101000          -33.0            -33            11011111            0.0
            -22            11101010         -128.0           -128            10000000            0.0
            100            01100100          127.0            127            01111111            0.0
            -48            11010000          116.0            116            01110100            0.0
             14            00001110          -71.5            -72            10111000            0.5
            -61            11000011         -78.75            -79            10110001           0.25
            -31            11100001         -128.0           -128            10000000            0.0
            -70            10111010         -128.0           -128            10000000            0.0
             21            00010101        -103.25           -103            10011001          -0.25
             82            01010010          127.0            127            01111111            0.0
             83            01010011          127.0            127            01111111            0.0
             43            00101011          127.0            127            01111111            0.0
            -29            11100011          35.25             35            00100011           0.25
           -107            10010101         -128.0           -128            10000000            0.0
            126            01111110            6.5              6            00000110            0.5
            -98            10011110          -12.5            -13            11110011            0.5
            105            01101001         -12.25            -12            11110100          -0.25
            -84            10101100          -30.0            -30            11100010            0.0
            -54            11001010         -128.0           -128            10000000            0.0
            -75            10110101         -128.0           -128            10000000            0.0
             25            00011001        -106.25           -106            10010110          -0.25
             65            01000001          127.0            127            01111111            0.0
             83            01010011          127.0            127            01111111            0.0
            -75            10110101          34.75             35            00100011          -0.25
            -34            11011110         -128.0           -128            10000000            0.0
             10            00001010          -50.5            -51            11001101            0.5
           -109            10010011         -128.0           -128            10000000            0.0
            -13            11110011         -128.0           -128            10000000            0.0
             54            00110110           68.5             68            01000100            0.5
            -76            10110100          -25.0            -25            11100111            0.0
             31            00011111         -97.75            -98            10011110           0.25
           -107            10010101        -125.25           -125            10000011          -0.25
            -74            10110110         -128.0           -128            10000000            0.0
             79            01001111          -9.75            -10            11110110           0.25
            -29            11100011         107.25            107            01101011           0.25
            117            01110101          127.0            127            01111111            0.0
             67            01000011          127.0            127            01111111            0.0
            -54            11001010           39.5             39            00100111            0.5
             70            01000110           14.5             14            00001110            0.5
             20            00010100          127.0            127            01111111            0.0
            104            01101000          127.0            127            01111111            0.0
             20            00010100          127.0            127            01111111            0.0
            -52            11001100          -51.0            -51            11001101            0.0
             70            01000110           18.5             18            00010010            0.5
            -47            11010001          57.75             58            00111010          -0.25
             69            01000101          26.75             27            00011011          -0.25
             48            00110000          127.0            127            01111111            0.0
            -69            10111011         -24.75            -25            11100111           0.25
            -62            11000010         -128.0           -128            10000000            0.0
             26            00011010          -78.5            -79            10110001            0.5
            106            01101010          127.0            127            01111111            0.0
            -21            11101011          82.25             82            01010010           0.25
            -30            11100010          -94.5            -95            10100001            0.5
            -77            10110011         -128.0           -128            10000000            0.0
            -69            10111011         -128.0           -128            10000000            0.0
             19            00010011        -104.75           -105            10010111           0.25
             84            01010100          127.0            127            01111111            0.0
              9            00001001          127.0            127            01111111            0.0
            115            01110011          127.0            127            01111111            0.0
            104            01101000          127.0            127            01111111            0.0
             51            00110011          127.0            127            01111111            0.0
             27            00011011          127.0            127            01111111            0.0
            -60            11000100          -51.0            -51            11001101            0.0
            -60            11000100         -128.0           -128            10000000            0.0
             45            00101101         -41.25            -41            11010111          -0.25
             23            00010111          127.0            127            01111111            0.0
             -3            11111101          40.75             41            00101001          -0.25
             37            00100101          58.75             59            00111011          -0.25
             79            01001111          127.0            127            01111111            0.0
             41            00101001          127.0            127            01111111            0.0
            115            01110011          127.0            127            01111111            0.0
             13            00001101          127.0            127            01111111            0.0
              6            00000110           36.5             36            00100100            0.5
             94            01011110          127.0            127            01111111            0.0
            126            01111110          127.0            127            01111111            0.0
             61            00111101          127.0            127            01111111            0.0
             45            00101101          127.0            127            01111111            0.0
              9            00001001         105.75            106            01101010          -0.25
             45            00101101          96.75             97            01100001          -0.25
             33            00100001          127.0            127            01111111            0.0
            -22            11101010           27.5             27            00011011            0.5
            -88            10101000         -128.0           -128            10000000            0.0
             33            00100001        -118.25           -118            10001010          -0.25
             83            01010011          127.0            127            01111111            0.0
            -71            10111001          41.75             42            00101010          -0.25
           -115            10001101         -128.0           -128            10000000            0.0
             11            00001011         -128.0           -128            10000000            0.0
            -75            10110101        -109.25           -109            10010011          -0.25
             -2            11111110         -128.0           -128            10000000            0.0
            -31            11100001         -58.25            -58            11000110          -0.25
            -53            11001011         -128.0           -128            10000000            0.0
              1            00000001        -104.25           -104            10011000          -0.25
             11            00001011          21.25             21            00010101           0.25
             20            00010100           57.0             57            00111001            0.0
             23            00010111          80.25             80            01010000           0.25
            -25            11100111           2.25              2            00000010           0.25
             49            00110001          35.75             36            00100100          -0.25
